# Relative Spectral Response per erg (Equal-Energy); Jarrett et al. 2011
#  W4     RSR     uncertainty (parts per thousand)
  2.53  0.27593E-16   348
  2.54  0.60206E-16   349
  2.55  0.73230E-13   370
  2.56  0.39856E-13   370
  2.57  0.30518E-14   371
  2.58  0.12528E-32  1000
  2.59  0.58995E-42  1000
  2.60  0.22768E-30   707
  2.61  0.12592E-30  1000
  2.62  0.12959E-30  1000
  2.63  0.89289E-29   707
  2.64  0.73471E-31   707
  2.65  0.11143E-28   707
  2.66  0.93083E-36   707
  2.67  0.98091E-15   343
  2.68  0.13385E-14   342
  2.69  0.50230E-14   341
  2.70  0.50542E-14   342
  2.71  0.36992E-14   341
  2.72  0.82687E-14   341
  2.73  0.44004E-13   339
  2.74  0.30408E-14   339
  2.75  0.59658E-15   338
  2.76  0.21427E-24   707
  2.77  0.21962E-15   338
  2.78  0.43052E-14   336
  2.79  0.35064E-15   337
  2.80  0.49842E-15   336
  2.81  0.89274E-16   337
  2.82  0.25116E-14   337
  2.83  0.26409E-14   335
  2.84  0.20465E-13   335
  2.85  0.77274E-14   334
  2.86  0.25308E-28   707
  2.87  0.16971E-28   707
  2.88  0.30674E-31   707
  2.89  0.10082E-14   332
  2.90  0.50899E-14   332
  2.91  0.37311E-13   332
  2.92  0.51614E-15   332
  2.93  0.33602E-13   330
  2.94  0.29335E-13   330
  2.95  0.45850E-13   330
  2.96  0.53151E-14   330
  2.97  0.36184E-14   330
  2.98  0.32681E-15   329
  2.99  0.33857E-14   328
  3.00  0.21454E-13   328
  3.01  0.49314E-14   327
  3.02  0.11965E-12   327
  3.03  0.55163E-13   326
  3.04  0.60931E-14   326
  3.05  0.29868E-13   325
  3.06  0.21864E-33   707
  3.07  0.37288E-26   707
  3.08  0.11953E-24   707
  3.09  0.82337E-25  1000
  3.10  0.36773E-29  1000
  3.11  0.21660E-27  1000
  3.12  0.54858E-29  1000
  3.13  0.26469E-36   707
  3.14  0.54720E-30   707
  3.15  0.40884E-15   321
  3.16  0.72884E-14   321
  3.17  0.17886E-13   321
  3.18  0.19621E-13   320
  3.19  0.15818E-14   319
  3.20  0.24170E-14   319
  3.21  0.31579E-15   318
  3.22  0.75621E-13   336
  3.23  0.56892E-14   319
  3.24  0.71550E-13   335
  3.25  0.16232E-12   335
  3.26  0.97630E-14   316
  3.27  0.36509E-13   316
  3.28  0.54402E-14   317
  3.29  0.84182E-14   317
  3.30  0.14107E-12   332
  3.31  0.44760E-14   315
  3.32  0.68611E-13   333
  3.33  0.39813E-29   707
  3.34  0.56801E-34   707
  3.35  0.11394E-31   707
  3.36  0.98689E-40  1000
  3.37  0.14092E-28   707
  3.38  0.54218E-36  1000
  3.39  0.21281E-37  1000
  3.40  0.16600E-34  1000
  3.41  0.50318E-32   707
  3.42  0.17875E-33   707
  3.43  0.53417E-30   707
  3.44  0.52298E-15   311
  3.45  0.16446E-14   311
  3.46  0.47607E-15   310
  3.47  0.31019E-15   310
  3.48  0.29792E-26   707
  3.49  0.12289E-32   707
  3.50  0.16505E-27   707
  3.51  0.29584E-26   707
  3.52  0.91657E-29   707
  3.53  0.43985E-23   707
  3.54  0.83633E-30   707
  3.55  0.30203E-25   707
  3.56  0.70910E-32   707
  3.57  0.75279E-15   305
  3.58  0.21554E-13   305
  3.59  0.20127E-14   304
  3.60  0.10877E-12   304
  3.61  0.18946E-13   303
  3.62  0.47091E-13   303
  3.63  0.24880E-13   302
  3.64  0.16224E-13   302
  3.65  0.64176E-13   301
